Name,EP,P1,Away,Home,AvgPointsPerGame,teamAbbrev,Opp.x,ID,Salary,Value.x,Team,Opp.y,Pos,Lineup (?),ML,OU,Value.y,EPRWire,EP_Avg,date,P2,Mins,Lineup,dkp.x,gid,last_first,team,opp,h_a,gameid,gtime_et,team_pts,opp_pts,start,minutes,gp,active,fdp,dkp.y,ddp,yhp,stats,doubled,tripled,fd_sal,fd_change,dk_sal,dk_change,dd_sal,dd_change,yh_sal,yh_change,fd_pos,dk_pos,dd_pos,yh_pos,x35,nn,site,o_team,line,total
Eric Gordon,24.03,SG,Hou,Dal,25.006,Hou,Dal,Eric Gordon (7661664),5200,4.621153846153846,HOU,DAL,SG,NA,104,221.0,3.25,16.9,20.465,2016-10-28,NA,33,NA,NA,4077,"Gordon, Eric",hou,dal,A,20161028-hou-dal,20.5,106,98,1,33.0333333333333,1,1,29.8,32.5,32.5,31.3,18pt 4rb 6as 2to 3trey 4-9fg 7-8ft,0,0,5200,0, 5200,200, 9850,-1000,20,2,2,2,2,2,NA,Rockets,away,Mavericks,-1.0,219.0
Trevor Ariza,25.02,SF,Hou,Dal,26.317,Hou,Dal,Trevor Ariza (7661720),5500,4.549090909090909,HOU,DAL,SF,NA,104,221.0,3.37,18.535,21.7775,2016-10-28,NA,34,NA,NA,3621,"Ariza, Trevor",hou,dal,A,20161028-hou-dal,20.5,106,98,1,35.6666666666667,1,1,33.8,36.5,38.0,36.3,27pt 4rb 1st 5trey 8-12fg 6-6ft,0,0,5400,-100, 5500,-300,11350,-1300,23,2,3,3,23,3,NA,Rockets,away,Mavericks,-1.0,219.0
Roy Hibbert,26.25,C,Cha,Mia,16.932,Cha,Mia,Roy Hibbert (7661805),3600,7.291666666666667,CHA,MIA,C,NA,-110,198.0,5.62,20.232,23.241,2016-10-28,NA,28,NA,NA,4101,"Hibbert, Roy",cha,mia,A,20161028-cha-mia,20.0,97,91,1,4.48333333333333,1,1,1.2,1.25,1.0,1.2,0pt 1rb 0-1fg,0,0,3900,400, 3600,600, 5000,0,13,3,5,5,5,5,NA,Hornets,away,Heat,-1.0,197.0
Spencer Hawes,13.01,PF,Cha,Mia,15.242,Cha,Mia,Spencer Hawes (7661740),3000,4.336666666666667,CHA,MIA,PF,NA,-110,198.0,3.26,9.78,11.395,2016-10-28,C,14,NA,NA,3996,"Hawes, Spencer",cha,mia,A,20161028-cha-mia,20.0,97,91,0,20.2,1,1,25.8,27.25,25.75,25.8,10pt 9rb 2as 2bl 2to 4-10fg 2-2ft,0,0,3500,0, 3000,0, 5000,0,11,1,5,45,45,4,NA,Hornets,away,Heat,-1.0,197.0
Ramon Sessions,15.5,PG,Cha,Mia,18.162,Cha,Mia,Ramon Sessions (7661587),3000,5.166666666666667,CHA,MIA,PG,NA,-110,198.0,3.46,10.38,12.940000000000001,2016-10-28,NA,14,NA,NA,4020,"Sessions, Ramon",cha,mia,A,20161028-cha-mia,20.0,97,91,0,16.9,1,1,13.8,14.0,11.75,13.8,3pt 4rb 4as 1-9fg 1-2ft,0,0,3700,-300, 3000,-400, 5300,-400,10,-1,1,1,12,1,NA,Hornets,away,Heat,-1.0,197.0
Jeremy Lamb,10.55,SG,Cha,Mia,17.058,Cha,Mia,Jeremy Lamb (7661625),3000,3.516666666666667,CHA,MIA,SG,NA,-110,198.0,2.87,8.61,9.58,2016-10-28,SF,12,NA,NA,4514,"Lamb, Jeremy",cha,mia,A,20161028-cha-mia,20.0,97,91,0,22.3666666666667,1,1,29.1,29.5,28.25,29.1,16pt 8rb 1as 1bl 7-12fg 2-2ft,0,0,3800,-200, 3000,0, 5200,-500,10,0,2,23,23,3,NA,Hornets,away,Heat,-1.0,197.0
Cody Zeller,18.12,C,Cha,Mia,20.5,Cha,Mia,Cody Zeller (7661809),4100,4.419512195121952,CHA,MIA,C,NA,-110,198.0,4.03,16.523,17.3215,2016-10-28,NA,20,NA,NA,4614,"Zeller, Cody",cha,mia,A,20161028-cha-mia,20.0,97,91,0,23.2166666666667,1,1,20.1,20.75,19.5,20.1,10pt 3rb 1as 2st 1bl 1to 4-8fg 2-3ft,0,0,4600,0, 4100,-400, 9950,-200,10,0,5,5,45,5,NA,Hornets,away,Heat,-1.0,197.0
Marco Belinelli,15.17,SG,Cha,Mia,16.415,Cha,Mia,Marco Belinelli (7661651),3100,4.893548387096774,CHA,MIA,SG,NA,-110,198.0,3.27,10.137,12.653500000000001,2016-10-28,NA,22,NA,NA,3974,"Belinelli, Marco",cha,mia,A,20161028-cha-mia,20.0,97,91,0,28.3833333333333,1,1,18.2,19.25,19.0,19.2,12pt 1rb 2as 1st 2trey 4-9fg 2-2ft,0,0,3500,0, 3100,-200, 6400,-600,10,-2,2,2,23,2,NA,Hornets,away,Heat,-1.0,197.0
Nicolas Batum,30.58,SG,Cha,Mia,33.18,Cha,Mia,Nicolas Batum (7661624),6400,4.778124999999999,CHA,MIA,SG,NA,-110,198.0,3.63,23.232,26.906,2016-10-28,SF,33,NA,NA,4086,"Batum, Nicolas",cha,mia,A,20161028-cha-mia,20.0,97,91,1,31.45,1,1,26.2,29.0,27.5,27.2,12pt 6rb 4as 2st 3to 2trey 4-14fg 2-2ft,0,0,6200,0, 6400,0,13750,-1250,27,0,2,23,23,2,NA,Hornets,away,Heat,-1.0,197.0
Michael Kidd-Gilchrist,29.46,SF,Cha,Mia,24.464,Cha,Mia,Michael Kidd-Gilchrist (7661712),5400,5.455555555555556,CHA,MIA,SF,NA,-110,198.0,4.67,25.218,27.339,2016-10-28,NA,33,NA,NA,4532,"Kidd-Gilchrist, Michael",cha,mia,A,20161028-cha-mia,20.0,97,91,1,28.3666666666667,1,1,19.5,20.25,19.0,19.5,3pt 5rb 1as 1st 4bl 1to 1-5fg 1-2ft,0,0,5600,200, 5400,400,10850,-1000,25,3,3,3,3,3,NA,Hornets,away,Heat,-1.0,197.0
