Name,EP,P1,Away,Home,AvgPointsPerGame,teamAbbrev,Opp.x,ID,Salary,Value.x,Team,Opp.y,Pos,Lineup (?),ML,OU,Value.y,EPRWire,EP_Avg,date,P2,Mins,Lineup,dkp.x,gid,last_first,team,opp,h_a,gameid,gtime_et,team_pts,opp_pts,start,minutes,gp,active,fdp,dkp.y,ddp,yhp,stats,doubled,tripled,fd_sal,fd_change,dk_sal,dk_change,dd_sal,dd_change,yh_sal,yh_change,fd_pos,dk_pos,dd_pos,yh_pos,x35,nn,site,o_team,line,total
Evan Turner,26.91,SG,Por,Min,20.828,Por,Min,Evan Turner (8042224),4900,5.4918367346938775,POR,@MIN,SG,-,NA,0.0,4.55,22.295,24.080730000000003,2017-01-01,NA,NA,NA,NA,4318,"Turner, Evan",por,min,A,20170101-por-min,19.0,95,89,0,29.7333333333333,1,1,24.1,26.75,26.25,24.6,11pt 3rb 1as 2st 4bl 4to 1trey 5-7fg 0-2ft,0,0,4800,300, 4900,200, 9300,1450,13,0,3,23,23,3,NA,Trailblazers,away,Timberwolves,5.5,208.5
Meyers Leonard,21.03,PF,Por,Min,11.977,Por,Min,Meyers Leonard (8042304),3100,6.783870967741936,POR,@MIN,PF,-,NA,0.0,3.02,9.362,15.11365,2017-01-01,NA,NA,NA,NA,4521,"Leonard, Meyers",por,min,A,20170101-por-min,19.0,95,89,0,10.4333333333333,1,1,2.4,2.5,1.0,2.4,0pt 2rb 0-6fg,0,0,3500,-200, 3100,0, 6100,550,10,0,4,45,45,4,NA,Trailblazers,away,Timberwolves,5.5,208.5
Al-Farouq Aminu,25.53,PF,Por,Min,18.722,Por,Min,Al-Farouq Aminu (8042313),4400,5.802272727272728,POR,@MIN,PF,E,NA,0.0,4.37,19.228,21.95524,2017-01-01,NA,NA,NA,NA,4261,"Aminu, Al-Farouq",por,min,A,20170101-por-min,19.0,95,89,1,35.65,1,1,17.7,18.0,16.5,17.7,2pt 6rb 3as 2st 1-7fg,0,0,4200,100, 4400,100, 8200,1250,13,0,4,4,34,4,NA,Trailblazers,away,Timberwolves,5.5,208.5
Mason Plumlee,32.14,C,Por,Min,29.8,Por,Min,Mason Plumlee (8042340),5700,5.63859649122807,POR,@MIN,C,E,NA,0.0,4.72,26.904,30.507960000000004,2017-01-01,NA,NA,NA,NA,4607,"Plumlee, Mason",por,min,A,20170101-por-min,19.0,95,89,1,29.0,1,1,32.1,33.5,31.75,32.1,18pt 8rb 3as 1st 2to 6-9fg 6-10ft,0,0,6300,300, 5700,100,11250,900,23,0,5,5,45,5,NA,Trailblazers,away,Timberwolves,5.5,208.5
Allen Crabbe,21.33,SG,Por,Min,17.307,Por,Min,Allen Crabbe (8042225),4200,5.078571428571428,POR,@MIN,SG,E,NA,0.0,3.66,15.372,19.12285,2017-01-01,NA,NA,NA,NA,4561,"Crabbe, Allen",por,min,A,20170101-por-min,19.0,95,89,1,40.0666666666667,1,1,21.1,23.0,21.75,21.6,10pt 8rb 1as 1bl 2to 1trey 4-10fg 1-2ft,0,0,3700,0, 4200,100, 7950,900,10,0,2,23,12,2,NA,Trailblazers,away,Timberwolves,5.5,208.5
Noah Vonleh,10.53,PF,Por,Min,9.223,Por,Min,Noah Vonleh (8042316),3000,3.51,POR,@MIN,PF,-,NA,0.0,2.64,7.92,10.73133,2017-01-01,NA,NA,NA,NA,4761,"Vonleh, Noah",por,min,A,20170101-por-min,19.0,95,89,0,6.5,1,1,1.2,1.25,1.25,1.2,0pt 1rb,0,0,3500,0, 3000,0, 5000,0,10,0,4,4,4,4,NA,Trailblazers,away,Timberwolves,5.5,208.5
Shabazz Napier,9.8,PG,Por,Min,7.625,Por,Min,Shabazz Napier (8042197),3000,3.266666666666667,POR,@MIN,PG,-,NA,0.0,3.38,10.14,10.52285,2017-01-01,NA,NA,NA,NA,4694,"Napier, Shabazz",por,min,A,20170101-por-min,19.0,95,89,0,8.76666666666667,1,1,3.7,5.25,5.5,4.2,3pt 1rb 1as 2to 1trey 1-2fg,0,0,3500,0, 3000,0, 5000,0,10,0,1,1,1,1,NA,Trailblazers,away,Timberwolves,5.5,208.5
Gorgui Dieng,30.56,PF,Por,Min,27.22,Min,Por,Gorgui Dieng (8042305),5500,5.556363636363637,MIN,POR,PF,E,NA,0.0,6.06,33.33,30.887100000000004,2017-01-01,NA,NA,NA,NA,4632,"Dieng, Gorgui",min,por,H,20170101-por-min,19.0,89,95,1,37.6166666666667,1,1,28.8,29.75,27.75,28.8,12pt 9rb 2as 2st 1to 5-13fg 2-2ft,0,0,5600,0, 5500,0,12100,600,19,0,4,45,45,4,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Karl-Anthony Towns,49.38,PF,Por,Min,44.697,Min,Por,Karl-Anthony Towns (8042306),9400,5.253191489361702,MIN,POR,PF,E,NA,0.0,4.84,45.496,46.66221,2017-01-01,NA,NA,NA,NA,4879,"Towns, Karl-Anthony",min,por,H,20170101-por-min,19.0,89,95,1,33.6166666666667,1,1,36.6,40.25,37.75,36.6,11pt 13rb 6as 1st 1bl 3to 3-15fg 5-5ft,1,0,9100,0, 9400,500,19150,900,43,0,5,45,5,5,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Andrew Wiggins,34.76,SF,Por,Min,32.75,Min,Por,Andrew Wiggins (8042280),6800,5.1117647058823525,MIN,POR,SF,E,NA,0.0,4.82,32.776,34.12774,2017-01-01,NA,NA,NA,NA,4704,"Wiggins, Andrew",min,por,H,20170101-por-min,19.0,89,95,1,37.5666666666667,1,1,28.5,31.75,28.75,29.0,24pt 5rb 1as 1st 5to 1trey 10-20fg 3-7ft,0,0,6900,500, 6800,300,12100,-1950,29,0,3,3,23,3,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Zach LaVine,34.48,SG,Por,Min,32.156,Min,Por,Zach LaVine (8042238),6300,5.473015873015872,MIN,POR,SG,E,NA,0.0,4.15,26.145000000000003,31.88561,2017-01-01,NA,NA,NA,NA,4706,"LaVine, Zach",min,por,H,20170101-por-min,19.0,89,95,1,35.6666666666667,1,1,18.1,20.25,19.0,19.1,13pt 3rb 1as 1st 2to 2trey 5-12fg 1-3ft,0,0,6500,0, 6300,0,13100,800,27,0,2,2,12,2,NA,Timberwolves,home,Trailblazers,-5.5,208.5
C.J. McCollum,41.3,PG,Por,Min,35.371,Por,Min,C.J. McCollum (8042185),8300,4.975903614457831,POR,@MIN,PG,E,NA,0.0,3.21,26.643,35.18958,2017-01-01,NA,NA,NA,NA,4657,"McCollum, C.J.",por,min,A,20170101-por-min,19.0,95,89,1,39.2333333333333,1,1,58.5,61.75,60.75,60.0,43pt 5rb 3as 3st 1bl 3to 3trey 16-25fg 8-9ft,0,0,7500,400, 8300,200,15000,1550,35,3,2,12,12,2,NA,Trailblazers,away,Timberwolves,5.5,208.5
Tyler Johnson,31.48,PG,Det,Mia,28.016,Mia,Det,Tyler Johnson (8042205),5400,5.82962962962963,MIA,DET,PG,-,NA,0.0,3.73,20.142,27.637340000000002,2017-01-01,NA,NA,NA,NA,4756,"Johnson, Tyler",mia,det,H,20170101-det-mia,18.0,98,107,0,28.9666666666667,1,1,24.7,25.75,24.25,25.2,11pt 1rb 5as 1st 2bl 1to 1trey 3-10fg 4-5ft,0,0,6200,400, 5400,0,10550,450,21,0,1,1,12,1,NA,Heat,home,Pistons,6.5,198.5
Luke Babbitt,11.09,PF,Det,Mia,8.192,Mia,Det,Luke Babbitt (8042320),3000,3.6966666666666668,MIA,DET,PF,E,NA,0.0,2.54,7.62,10.372819999999999,2017-01-01,NA,NA,NA,NA,4264,"Babbitt, Luke",mia,det,H,20170101-det-mia,18.0,98,107,1,17.4833333333333,1,1,12.1,12.75,12.75,12.6,7pt 3rb 1as 1trey 3-5fg,0,0,3500,0, 3000,0, 5000,0,10,0,4,4,3,3,NA,Heat,home,Pistons,6.5,198.5
Justise Winslow,30.53,SF,Det,Mia,25.722,Mia,Det,Justise Winslow (8042255),5500,5.550909090909091,MIA,DET,SF,E,NA,0.0,3.75,20.625,26.58037,2017-01-01,NA,NA,NA,NA,4787,"Winslow, Justise",mia,det,H,20170101-det-mia,18.0,98,107,0,0.0,0,1,0.0,0.0,0.0,0.0,NA,0,0,5100,0, 5500,-100, 9000,-950,21,0,3,34,34,3,NA,Heat,home,Pistons,6.5,198.5
Stanley Johnson,11.46,SG,Det,Mia,10.032,Det,Mia,Stanley Johnson (8042228),3000,3.8200000000000003,DET,@MIA,SG,-,NA,0.0,4.11,12.330000000000002,12.59302,2017-01-01,NA,NA,NA,NA,4838,"Johnson, Stanley",det,mia,A,20170101-det-mia,18.0,107,98,0,12.7666666666667,1,1,5.1,5.25,5.0,5.1,0pt 3rb 1as 0-1fg,0,0,3600,100, 3000,0, 5650,0,10,0,3,23,23,2,NA,Pistons,away,Heat,-6.5,198.5
Josh Richardson,29.74,SG,Det,Mia,22.302,Mia,Det,Josh Richardson (8042227),5700,5.217543859649123,MIA,DET,SG,E,NA,0.0,3.22,18.354,24.30628,2017-01-01,NA,NA,NA,NA,4788,"Richardson, Josh",mia,det,H,20170101-det-mia,18.0,98,107,1,37.7666666666667,1,1,29.2,31.25,29.75,30.2,14pt 1rb 8as 2st 2to 2trey 5-13fg 2-4ft,0,0,5500,1100, 5700,700, 8300,-700,12,0,2,23,23,3,NA,Heat,home,Pistons,6.5,198.5
Wayne Ellington,17.37,SF,Det,Mia,19.446,Mia,Det,Wayne Ellington (8042281),3500,4.962857142857143,MIA,DET,SF,-,NA,0.0,3.36,11.76,17.88316,2017-01-01,NA,NA,NA,NA,4185,"Ellington, Wayne",mia,det,H,20170101-det-mia,18.0,98,107,1,37.25,1,1,27.3,29.5,29.5,29.3,18pt 4rb 3as 4trey 7-15fg,0,0,4000,-100, 3500,100, 5550,-500,10,-2,2,3,23,2,NA,Heat,home,Pistons,6.5,198.5
Willie Reed,17.61,C,Det,Mia,10.587,Mia,Det,Willie Reed (8042343),3600,4.891666666666667,MIA,DET,C,E,NA,0.0,7.11,25.596,18.32821,2017-01-01,NA,NA,NA,NA,4579,"Reed, Willie",mia,det,H,20170101-det-mia,18.0,98,107,1,17.9666666666667,1,1,11.4,11.5,11.25,11.4,4pt 2rb 2as 1bl 2-3fg,0,0,3500,0, 3600,0, 5450,-100,10,0,5,5,45,5,NA,Heat,home,Pistons,6.5,198.5
James Johnson,28.25,SF,Det,Mia,23.733,Mia,Det,James Johnson (8042253),5300,5.330188679245283,MIA,DET,SF,-,NA,0.0,4.35,23.054999999999996,25.85398,2017-01-01,NA,NA,NA,NA,4168,"Johnson, James",mia,det,H,20170101-det-mia,18.0,98,107,0,33.9,1,1,33.9,37.75,38.0,35.9,20pt 7rb 3as 1st 1bl 3to 4trey 6-13fg 4-4ft,0,0,5200,0, 5300,100, 7400,-700,17,0,4,34,34,4,NA,Heat,home,Pistons,6.5,198.5
Rodney McGruder,16.6,SG,Det,Mia,14.267,Mia,Det,Rodney McGruder (8042239),3000,5.533333333333334,MIA,DET,SG,E,NA,0.0,3.57,10.71,15.247370000000002,2017-01-01,NA,NA,NA,NA,4650,"McGruder, Rodney",mia,det,H,20170101-det-mia,18.0,98,107,1,33.1166666666667,1,1,14.3,16.0,15.25,14.8,8pt 4rb 1as 1st 2to 1trey 3-8fg 1-1ft,0,0,3500,0, 3000,0, 5000,-250,10,0,2,2,2,2,NA,Heat,home,Pistons,6.5,198.5
Ricky Rubio,33.46,PG,Por,Min,26.446,Min,Por,Ricky Rubio (8042196),5800,5.768965517241379,MIN,POR,PG,E,NA,0.0,5.35,31.029999999999998,30.685760000000002,2017-01-01,NA,NA,NA,NA,4414,"Rubio, Ricky",min,por,H,20170101-por-min,19.0,89,95,1,26.75,1,1,14.0,14.0,12.75,14.0,1pt 6as 2st 0-5fg 1-1ft,0,0,6100,0, 5800,-100,12550,850,20,0,1,1,1,1,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Shabazz Muhammad,15.19,SG,Por,Min,11.65,Min,Por,Shabazz Muhammad (8042226),3100,4.8999999999999995,MIN,POR,SG,-,NA,0.0,4.95,15.345,15.13785,2017-01-01,NA,NA,NA,NA,4594,"Muhammad, Shabazz",min,por,H,20170101-por-min,19.0,89,95,0,22.7,1,1,19.2,21.5,21.0,20.2,12pt 6rb 1st 2to 2trey 5-11fg,0,0,3600,100, 3100,100, 5000,0,10,0,3,23,23,2,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Brandon Ingram,19.23,SF,Tor,LAL,16.715,LAL,Tor,Brandon Ingram (8042291),3300,5.827272727272728,LAL,TOR,SF,-,NA,0.0,5.69,18.777,19.30058,2017-01-01,NA,NA,NA,NA,4965,"Ingram, Brandon",lal,tor,H,20170101-tor-lal,21.5,114,123,0,25.5,1,1,12.6,12.75,11.5,12.6,6pt 3rb 2as 2-7fg 2-2ft,0,0,3500,0, 3300,0, 7200,0,10,-1,3,3,23,3,NA,Lakers,home,Raptors,8.0,218.5
Jordan Clarkson,24.87,PG,Tor,LAL,23.729,LAL,Tor,Jordan Clarkson (8042187),4500,5.526666666666666,LAL,TOR,PG,-,NA,0.0,4.19,18.855,23.721740000000004,2017-01-01,NA,NA,NA,NA,4668,"Clarkson, Jordan",lal,tor,H,20170101-tor-lal,21.5,114,123,0,17.2666666666667,1,1,3.7,4.25,3.0,3.7,2pt 1rb 1as 1to 1-5fg 0-1ft,0,0,4600,0, 4500,-100, 9700,-550,15,-2,1,12,12,1,NA,Lakers,home,Raptors,8.0,218.5
Julius Randle,34.92,PF,Tor,LAL,30.944,LAL,Tor,Julius Randle (8042308),6600,5.290909090909091,LAL,TOR,PF,E,NA,0.0,4.62,30.492,32.76812,2017-01-01,NA,NA,NA,NA,4680,"Randle, Julius",lal,tor,H,20170101-tor-lal,21.5,114,123,1,35.8833333333333,1,1,42.8,44.25,42.25,42.8,15pt 9rb 6as 3st 2bl 2to 3-10fg 9-10ft,0,0,6500,-100, 6600,100,11550,-850,27,2,4,45,4,4,NA,Lakers,home,Raptors,8.0,218.5
Norman Powell,11.76,SG,Tor,LAL,12.018,Tor,LAL,Norman Powell (8042232),4400,2.672727272727273,TOR,@LAL,SG,-,NA,0.0,3.94,17.336,14.94002,2017-01-01,NA,NA,NA,NA,4792,"Powell, Norman",tor,lal,A,20170101-tor-lal,21.5,123,114,0,7.96666666666667,1,1,6.0,6.0,5.75,6.0,2pt 2st 1-2fg,0,0,3500,0, 4400,100, 6650,450,11,1,2,23,23,3,NA,Raptors,away,Lakers,-8.0,218.5
Luol Deng,26.14,SF,Tor,LAL,20.819,LAL,Tor,Luol Deng (8042289),5300,4.932075471698113,LAL,TOR,SF,E,NA,0.0,3.94,20.882,23.45937,2017-01-01,NA,NA,NA,NA,3629,"Deng, Luol",lal,tor,H,20170101-tor-lal,21.5,114,123,1,30.0833333333333,1,1,8.6,8.75,7.5,8.6,2pt 3rb 2as 1-6fg,0,0,4800,-300, 5300,-200, 8550,-50,20,2,3,3,34,3,NA,Lakers,home,Raptors,8.0,218.5
D'Angelo Russell,31.39,PG,Tor,LAL,28.033,LAL,Tor,D'Angelo Russell (8042217),5400,5.812962962962963,LAL,TOR,PG,E,NA,0.0,4.25,22.95,28.43433,2017-01-01,NA,NA,NA,NA,4799,"Russell, D'Angelo",lal,tor,H,20170101-tor-lal,21.5,114,123,1,30.9666666666667,1,1,42.3,45.5,45.75,45.3,28pt 4rb 5as 1st 6trey 9-18fg 4-6ft,0,0,5900,400, 5400,100,11600,-750,22,0,1,1,1,1,NA,Lakers,home,Raptors,8.0,218.5
Timofey Mozgov,14.69,C,Tor,LAL,16.307,LAL,Tor,Timofey Mozgov (8042354),3400,4.320588235294117,LAL,TOR,C,E,NA,0.0,4.82,16.388,17.214689999999997,2017-01-01,NA,NA,NA,NA,4299,"Mozgov, Timofey",lal,tor,H,20170101-tor-lal,21.5,114,123,1,21.1166666666667,1,1,12.6,13.25,12.25,12.6,6pt 3rb 1st 1bl 1to 2-6fg 2-2ft,0,0,3500,-200, 3400,0, 7300,-450,10,0,5,5,5,5,NA,Lakers,home,Raptors,8.0,218.5
Thomas Robinson,15.33,PF,Tor,LAL,11.598,LAL,Tor,Thomas Robinson (8042329),3200,4.7906249999999995,LAL,TOR,PF,-,NA,0.0,5.61,17.952,15.91036,2017-01-01,NA,NA,NA,NA,4509,"Robinson, Thomas",lal,tor,H,20170101-tor-lal,21.5,114,123,0,17.4166666666667,1,1,26.8,27.75,27.0,26.8,12pt 9rb 2as 1st 1to 6-9fg,0,0,4100,300, 3200,0, 5950,-250,10,-1,4,4,45,4,NA,Lakers,home,Raptors,8.0,218.5
Nick Young,23.35,SG,Tor,LAL,21.716,LAL,Tor,Nick Young (8042248),4200,5.55952380952381,LAL,TOR,SG,E,NA,0.0,3.19,13.398,20.903480000000002,2017-01-01,NA,NA,NA,NA,4036,"Young, Nick",lal,tor,H,20170101-tor-lal,21.5,114,123,1,30.3333333333333,1,1,30.4,35.0,37.0,33.9,26pt 2rb 2st 2to 7trey 8-14fg 3-3ft,0,0,4500,0, 4200,100, 7500,-50,16,0,2,2,23,2,NA,Lakers,home,Raptors,8.0,218.5
Pascal Siakam,13.43,PF,Tor,LAL,12.344,Tor,LAL,Pascal Siakam (8042330),3000,4.476666666666667,TOR,@LAL,PF,E,NA,0.0,4.37,13.11,14.299039999999998,2017-01-01,NA,NA,NA,NA,4929,"Siakam, Pascal",tor,lal,A,20170101-tor-lal,21.5,123,114,1,30.9166666666667,1,1,21.0,22.5,21.5,21.0,3pt 10rb 4bl 2to 1-4fg 1-2ft,0,0,3500,0, 3000,0, 5000,0,10,0,4,4,4,4,NA,Raptors,away,Lakers,-8.0,218.5
Lucas Nogueira,17.77,C,Tor,LAL,16.89,Tor,LAL,Lucas Nogueira (8042356),3700,4.802702702702702,TOR,@LAL,C,-,NA,0.0,5.15,19.055,19.058750000000003,2017-01-01,NA,NA,NA,NA,4759,"Nogueira, Lucas",tor,lal,A,20170101-tor-lal,21.5,123,114,0,19.8333333333333,1,1,11.9,12.0,11.75,11.9,4pt 2rb 1as 2bl 2-3fg,0,0,3600,-300, 3700,-100, 7700,150,10,0,5,5,5,5,NA,Raptors,away,Lakers,-8.0,218.5
Kyle Lowry,43.23,PG,Tor,LAL,43.016,Tor,LAL,Kyle Lowry (8042211),8800,4.9125,TOR,@LAL,PG,E,NA,0.0,4.11,36.168,41.60738,2017-01-01,NA,NA,NA,NA,3891,"Lowry, Kyle",tor,lal,A,20170101-tor-lal,21.5,123,114,1,39.0333333333333,1,1,58.3,63.75,65.75,61.3,41pt 9rb 7as 4to 6trey 12-16fg 11-11ft,0,0,9100,400, 8800,300,18800,1450,40,2,1,1,1,1,NA,Raptors,away,Lakers,-8.0,218.5
Cole Aldrich,10.64,C,Por,Min,10.112,Min,Por,Cole Aldrich (8042336),3600,2.9555555555555557,MIN,POR,C,-,NA,0.0,1.46,5.256,10.352960000000001,2017-01-01,NA,NA,NA,NA,4260,"Aldrich, Cole",min,por,H,20170101-por-min,19.0,89,95,0,9.8,1,1,11.2,11.5,11.25,11.2,0pt 6rb 1st 1bl 0-1fg,0,0,3500,0, 3600,-300, 7150,300,10,0,5,5,5,5,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Nemanja Bjelica,16.59,SF,Por,Min,13.476,Min,Por,Nemanja Bjelica (8042252),3100,5.351612903225806,MIN,POR,SF,-,NA,0.0,3.51,10.881,14.96995,2017-01-01,NA,NA,NA,NA,4875,"Bjelica, Nemanja",min,por,H,20170101-por-min,19.0,89,95,0,14.95,1,1,9.9,11.0,11.25,10.4,5pt 2rb 1as 1st 1to 1trey 2-3fg,0,0,3500,0, 3100,100, 5300,-100,10,0,4,34,4,4,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Kris Dunn,11.07,PG,Por,Min,12.697,Min,Por,Kris Dunn (8042198),3000,3.69,MIN,POR,PG,-,NA,0.0,4.33,12.99,13.771769999999998,2017-01-01,NA,NA,NA,NA,4945,"Dunn, Kris",min,por,H,20170101-por-min,19.0,89,95,0,21.25,1,1,26.6,28.25,28.25,27.1,11pt 3rb 4as 1st 3bl 2to 1trey 5-7fg,0,0,3500,0, 3000,0, 6300,350,10,0,1,1,1,1,NA,Timberwolves,home,Trailblazers,-5.5,208.5
DeMar DeRozan,39.59,SG,Tor,LAL,41.906,Tor,LAL,DeMar DeRozan (8042250),8500,4.657647058823529,TOR,@LAL,SG,E,NA,0.0,4.74,40.29,41.36486,2017-01-01,NA,NA,NA,NA,4211,"DeRozan, DeMar",tor,lal,A,20170101-tor-lal,21.5,123,114,1,35.3,1,1,39.7,40.25,36.0,39.7,31pt 1rb 3as 1st 1bl 1to 10-25fg 11-13ft,0,0,8800,400, 8500,200,17600,1350,40,2,2,2,23,2,NA,Raptors,away,Lakers,-8.0,218.5
Patrick Patterson,16.52,PF,Tor,LAL,19.669,Tor,LAL,Patrick Patterson (8042328),3900,4.235897435897436,TOR,@LAL,PF,-,NA,0.0,4.15,16.185000000000002,19.02834,2017-01-01,NA,NA,NA,NA,4302,"Patterson, Patrick",tor,lal,A,20170101-tor-lal,21.5,123,114,0,0.0,0,1,0.0,0.0,0.0,0.0,NA,0,0,4000,-100, 3900,-100, 8200,150,12,0,4,4,45,4,NA,Raptors,away,Lakers,-8.0,218.5
Terrence Ross,14.17,SG,Tor,LAL,18.056,Tor,LAL,Terrence Ross (8042231),3800,3.7289473684210526,TOR,@LAL,SG,-,NA,0.0,4.3,16.34,17.777459999999998,2017-01-01,NA,NA,NA,NA,4549,"Ross, Terrence",tor,lal,A,20170101-tor-lal,21.5,123,114,0,23.7666666666667,1,1,16.0,18.25,18.5,17.5,11pt 5rb 1to 3trey 4-9fg,0,0,4000,500, 3800,200, 7550,750,10,0,3,23,23,2,NA,Raptors,away,Lakers,-8.0,218.5
Cory Joseph,16.69,PG,Tor,LAL,17.823,Tor,LAL,Cory Joseph (8042213),3600,4.636111111111112,TOR,@LAL,PG,-,NA,0.0,5.19,18.684,19.04209,2017-01-01,NA,NA,NA,NA,4405,"Joseph, Cory",tor,lal,A,20170101-tor-lal,21.5,123,114,0,27.05,1,1,18.7,20.25,19.75,18.7,8pt 1rb 7as 1bl 3to 4-6fg,0,0,4000,-100, 3600,200, 7750,600,10,0,1,1,1,1,NA,Raptors,away,Lakers,-8.0,218.5
Jonas Valanciunas,29.93,C,Tor,LAL,27.467,Tor,LAL,Jonas Valanciunas (8042355),5100,5.868627450980393,TOR,@LAL,C,E,NA,0.0,5.87,29.937,29.8343,2017-01-01,NA,NA,NA,NA,4497,"Valanciunas, Jonas",tor,lal,A,20170101-tor-lal,21.5,123,114,1,30.8,1,1,27.0,30.5,30.75,27.0,14pt 10rb 2st 3to 6-7fg 2-2ft,1,0,5700,0, 5100,-200,13100,350,18,0,5,5,5,5,NA,Raptors,away,Lakers,-8.0,218.5
Aron Baynes,16.82,C,Det,Mia,10.921,Det,Mia,Aron Baynes (8042342),3700,4.545945945945946,DET,@MIA,C,-,NA,0.0,3.83,14.171,14.938600000000001,2017-01-01,NA,NA,NA,NA,4556,"Baynes, Aron",det,mia,A,20170101-det-mia,18.0,107,98,0,9.4,1,1,5.8,6.5,6.5,5.8,2pt 4rb 1to 1-1fg,0,0,3500,0, 3700,-100, 5000,-50,10,0,5,5,5,5,NA,Pistons,away,Heat,-6.5,198.5
Ish Smith,19.18,PG,Det,Mia,22.386,Det,Mia,Ish Smith (8042202),3300,5.8121212121212125,DET,@MIA,PG,-,NA,0.0,5.59,18.447,21.516489999999997,2017-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Miles,18.68,SF,Orl,Ind,19.143,Ind,Orl,C.J. Miles (8042286),3800,4.91578947368421,IND,ORL,SF,-,NA,0.0,3.43,13.034,18.48209,2017-01-01,NA,NA,NA,NA,3783,"Miles, C.J.",ind,orl,H,20170101-orl-ind,18.0,117,104,0,15.9666666666667,1,1,11.0,11.0,10.0,11.0,8pt 2as 4-8fg,0,0,3900,-100, 3800,0, 7950,-250,15,-2,3,3,23,3,NA,Pacers,home,Magic,-6.0,209.5
Myles Turner,28.92,C,Orl,Ind,31.742,Ind,Orl,Myles Turner (8042351),6300,4.590476190476191,IND,ORL,C,E,NA,0.0,4.91,30.933,31.60319,2017-01-01,NA,NA,NA,NA,4781,"Turner, Myles",ind,orl,H,20170101-orl-ind,18.0,117,104,1,31.2333333333333,1,1,44.9,48.0,47.25,45.4,23pt 12rb 3as 1st 1bl 1to 1trey 7-13fg 8-9ft,1,0,6300,-100, 6300,300,14200,-250,27,0,5,5,45,5,NA,Pacers,home,Magic,-6.0,209.5
Monta Ellis,10.98,SG,Orl,Ind,20.683,Ind,Orl,Monta Ellis (8042243),3700,2.9675675675675675,IND,ORL,SG,-,NA,0.0,3.05,11.285,16.527279999999998,2017-01-01,NA,NA,NA,NA,3745,"Ellis, Monta",ind,orl,H,20170101-orl-ind,18.0,117,104,0,15.7333333333333,1,1,18.8,19.0,18.75,18.8,4pt 4rb 4as 1st 1bl 2-3fg,0,0,4000,-200, 3700,-100, 8700,-400,15,0,2,2,12,2,NA,Pacers,home,Magic,-6.0,209.5
Thaddeus Young,31.37,PF,Orl,Ind,25.647,Ind,Orl,Thaddeus Young (8042323),5600,5.601785714285715,IND,ORL,PF,E,NA,0.0,5.53,30.968,29.775889999999997,2017-01-01,NA,NA,NA,NA,4037,"Young, Thaddeus",ind,orl,H,20170101-orl-ind,18.0,117,104,1,31.95,1,1,16.1,18.75,17.75,17.1,10pt 3rb 1as 2st 3to 2trey 4-12fg,0,0,5300,0, 5600,-200,10650,-350,21,0,4,4,34,4,NA,Pacers,home,Magic,-6.0,209.5
Al Jefferson,20.16,C,Orl,Ind,15.853,Ind,Orl,Al Jefferson (8042347),3300,6.109090909090909,IND,ORL,C,-,NA,0.0,5.02,16.566,18.55707,2017-01-01,NA,NA,NA,NA,3645,"Jefferson, Al",ind,orl,H,20170101-orl-ind,18.0,117,104,0,13.85,1,1,18.1,18.75,17.75,18.1,12pt 3rb 1as 1bl 1to 5-9fg 2-2ft,0,0,3700,0, 3300,0, 7200,-100,10,0,5,5,45,5,NA,Pacers,home,Magic,-6.0,209.5
Aaron Brooks,11.96,PG,Orl,Ind,11.823,Ind,Orl,Aaron Brooks (8042207),3000,3.986666666666667,IND,ORL,PG,-,NA,0.0,2.89,8.67,12.40093,2017-01-01,NA,NA,NA,NA,3976,"Brooks, Aaron",ind,orl,H,20170101-orl-ind,18.0,117,104,0,17.8833333333333,1,1,21.4,22.5,22.75,22.4,14pt 2rb 2as 1bl 2trey 6-9fg,0,0,3500,-100, 3000,-100, 5000,0,10,0,1,1,1,1,NA,Pacers,home,Magic,-6.0,209.5
Danny Green,21.44,SG,SA,Atl,17.62,SA,Atl,Danny Green (8042235),3900,5.4974358974358974,SAS,@ATL,SG,E,NA,0.0,3.44,13.416,18.71364,2017-01-01,NA,NA,NA,NA,4193,"Green, Danny",sas,atl,A,20170101-sas-atl,18.0,112,114,1,31.35,1,1,20.7,22.5,22.75,22.2,9pt 6rb 3as 3trey 3-8fg,0,0,3700,-200, 3900,0, 7550,550,10,0,2,2,23,2,NA,Spurs,away,Hawks,-5.0,199.5
